타임스탬프,효용성1,효용성2,효용성3,감정공감1,감정공감2,감정공감3,신뢰성1,신뢰성2,신뢰성3,신뢰성4,몰입감1,몰입감2,몰입감3,성별,나이,제작주체,서사성,그룹,장르선호,나이
16:08.3,2,3,3,5,3,6,7,5,7,6,4,2,2,남자,22,인간,비서사,인간_비서사,2,22
36:16.3,2,2,1,3,3,3,5,3,3,3,2,3,1,여자,20,인간,비서사,인간_비서사,1,20
20:15.8,5,5,2,4,5,5,7,7,7,7,4,3,2,여자,21,인간,비서사,인간_비서사,4,21
00:32.5,2,6,3,4,3,3,5,4,6,6,2,3,2,남자,23,인간,비서사,인간_비서사,2,23
02:00.7,3,5,2,1,1,2,5,3,4,4,5,4,3,여자,19,인간,비서사,인간_비서사,3,19
06:45.3,5,5,4,4,3,3,7,7,7,7,6,6,6,여자,21,인간,비서사,인간_비서사,6,21
12:57.1,4,4,4,1,2,2,5,2,2,2,2,6,2,남자,25,인간,비서사,인간_비서사,3,25
35:54.5,5,5,4,5,4,4,5,4,5,4,4,4,3,여자,19,인간,비서사,인간_비서사,5,19
50:53.2,5,6,4,4,4,4,7,7,7,6,5,5,5,여자,21,인간,비서사,인간_비서사,4,21
38:32.6,2,2,2,2,2,2,2,2,3,2,2,2,2,남자,23,인간,비서사,인간_비서사,2,23
05:49.9,6,5,5,5,5,5,6,6,6,6,6,5,5,여자,만19세,인간,비서사,인간_비서사,6,19
08:11.3,6,6,4,4,4,4,7,5,4,7,7,7,7,여자,21,인간,비서사,인간_비서사,5,21
59:39.8,5,5,3,5,5,2,6,6,5,7,6,4,2,남자,19,인간,비서사,인간_비서사,4,19
57:12.1,1,1,1,1,1,1,7,4,3,3,1,2,2,남자,26,인간,비서사,인간_비서사,1,26
10:20.2,1,1,1,1,1,1,6,1,1,1,1,1,1,남자,26,인간,비서사,인간_비서사,1,26
11:36.7,6,6,6,6,6,6,6,6,6,6,6,6,6,남자,23,인간,비서사,인간_비서사,6,23
13:29.0,3,5,2,1,2,1,7,7,6,4,4,2,3,남자,22세,인간,비서사,인간_비서사,5,22
36:31.1,3,3,3,3,3,3,3,3,3,3,3,3,3,여자,20,인간,비서사,인간_비서사,2,20
59:15.2,6,6,4,5,5,6,6,6,6,6,6,6,5,여자,20,인간,비서사,인간_비서사,6,20
53:20.0,2,6,3,1,1,3,7,7,7,5,7,6,5,여자,22세,인간,비서사,인간_비서사,7,22
54:41.3,3,5,4,4,4,3,7,6,5,7,4,4,5,여자,20세,인간,비서사,인간_비서사,5,20
59:02.2,4,7,3,2,3,3,7,7,7,7,6,6,6,여자,19세,인간,비서사,인간_비서사,6,19
05:57.5,4,6,6,4,6,7,7,6,7,7,5,5,5,여자,24,인간,비서사,인간_비서사,6,24
58:27.6,5,4,2,4,3,3,5,4,3,3,5,5,1,여자,20,인간,비서사,인간_비서사,6,20
